# x_m,y_m,w_tr_right_m,w_tr_left_m
8.0300,6.1000,0.6398,0.6398
8.0400,6.1100,0.6300,0.6300
8.0500,6.1100,0.6300,0.6300
8.0600,6.1100,0.6320,0.6320
8.0700,6.1100,0.6339,0.6339
8.0800,6.1100,0.6359,0.6359
8.0900,6.1100,0.6379,0.6379
8.1000,6.1200,0.6298,0.6298
8.1100,6.1200,0.6300,0.6300
8.1200,6.1200,0.6300,0.6300
8.1300,6.1200,0.6300,0.6300
8.1400,6.1200,0.6300,0.6300
8.1500,6.1200,0.6300,0.6300
8.1600,6.1200,0.6300,0.6300
8.1700,6.1200,0.6300,0.6300
8.1800,6.1200,0.6300,0.6300
8.1900,6.1200,0.6300,0.6300
8.2000,6.1200,0.6300,0.6300
8.2100,6.1200,0.6300,0.6300
8.2200,6.1200,0.6300,0.6300
8.2300,6.1200,0.6300,0.6300
8.2400,6.1200,0.6300,0.6300
8.2500,6.1200,0.6300,0.6300
8.2600,6.1300,0.6200,0.6200
8.2700,6.1300,0.6200,0.6200
8.2800,6.1300,0.6200,0.6200
8.2900,6.1300,0.6220,0.6220
8.3000,6.1300,0.6239,0.6239
8.3100,6.1300,0.6259,0.6259
8.3200,6.1300,0.6279,0.6279
8.3300,6.1300,0.6298,0.6298
8.3400,6.1300,0.6318,0.6318
8.3500,6.1300,0.6338,0.6338
8.3600,6.1300,0.6358,0.6358
8.3700,6.1300,0.6377,0.6377
8.3800,6.1300,0.6397,0.6397
8.3900,6.1300,0.6417,0.6417
8.4000,6.1300,0.6436,0.6436
8.4100,6.1300,0.6456,0.6456
8.4200,6.1300,0.6476,0.6476
8.4300,6.1300,0.6495,0.6495
8.4400,6.1300,0.6513,0.6513
8.4500,6.1400,0.6435,0.6435
8.4600,6.1400,0.6454,0.6454
8.4700,6.1400,0.6474,0.6474
8.4800,6.1400,0.6494,0.6494
8.4900,6.1400,0.6513,0.6513
8.5000,6.1400,0.6495,0.6495
8.5100,6.1400,0.6476,0.6476
8.5200,6.1500,0.6473,0.6473
8.5300,6.1500,0.6492,0.6492
8.5400,6.1500,0.6500,0.6500
8.5500,6.1500,0.6497,0.6497
8.5600,6.1500,0.6477,0.6477
8.5700,6.1600,0.6439,0.6439
8.5800,6.1600,0.6459,0.6459
8.5900,6.1600,0.6479,0.6479
8.6000,6.1600,0.6498,0.6498
8.6100,6.1600,0.6479,0.6479
8.6200,6.1600,0.6459,0.6459
8.6300,6.1600,0.6439,0.6439
8.6400,6.1600,0.6420,0.6420
8.6500,6.1600,0.6400,0.6400
8.6600,6.1600,0.6400,0.6400
8.6700,6.1600,0.6400,0.6400
8.6800,6.1600,0.6400,0.6400
8.6900,6.1600,0.6400,0.6400
8.7000,6.1700,0.6439,0.6439
8.7100,6.1700,0.6459,0.6459
8.7200,6.1700,0.6479,0.6479
8.7300,6.1700,0.6498,0.6498
8.7400,6.1700,0.6479,0.6479
8.7500,6.1700,0.6459,0.6459
8.7600,6.1700,0.6439,0.6439
8.7700,6.1700,0.6420,0.6420
8.7800,6.1700,0.6400,0.6400
8.7900,6.1700,0.6400,0.6400
8.8000,6.1700,0.6397,0.6397
8.8100,6.1700,0.6377,0.6377
8.8200,6.1700,0.6358,0.6358
8.8300,6.1800,0.6438,0.6438
8.8400,6.1800,0.6418,0.6418
8.8500,6.1800,0.6398,0.6398
8.8600,6.1800,0.6379,0.6379
8.8700,6.1800,0.6359,0.6359
8.8800,6.1800,0.6339,0.6339
8.8900,6.1900,0.6420,0.6420
8.9000,6.1900,0.6400,0.6400
8.9100,6.1900,0.6400,0.6400
8.9200,6.1900,0.6400,0.6400
8.9300,6.1900,0.6400,0.6400
8.9400,6.1900,0.6400,0.6400
8.9500,6.2000,0.6439,0.6439
8.9600,6.2000,0.6459,0.6459
