# x_m,y_m,w_tr_right_m,w_tr_left_m
11.1100,3.8100,0.6251,0.6251
11.1000,3.8100,0.6232,0.6232
11.0900,3.8000,0.6291,0.6291
11.0800,3.8000,0.6251,0.6251
11.0700,3.7900,0.6332,0.6332
11.0600,3.7900,0.6291,0.6291
11.0500,3.7900,0.6251,0.6251
11.0400,3.7800,0.6332,0.6332
11.0300,3.7800,0.6291,0.6291
11.0200,3.7800,0.6251,0.6251
11.0100,3.7700,0.6332,0.6332
11.0000,3.7700,0.6312,0.6312
10.9900,3.7700,0.6291,0.6291
10.9800,3.7600,0.6351,0.6351
10.9700,3.7600,0.6332,0.6332
10.9600,3.7500,0.6412,0.6412
10.9500,3.7500,0.6392,0.6392
10.9400,3.7500,0.6371,0.6371
10.9300,3.7500,0.6351,0.6351
10.9200,3.7500,0.6332,0.6332
10.9100,3.7400,0.6371,0.6371
10.9000,3.7400,0.6351,0.6351
10.8900,3.7400,0.6332,0.6332
10.8800,3.7400,0.6291,0.6291
10.8700,3.7400,0.6251,0.6251
10.8600,3.7400,0.6232,0.6232
10.8500,3.7400,0.6212,0.6212
10.8400,3.7300,0.6251,0.6251
10.8300,3.7300,0.6232,0.6232
10.8200,3.7300,0.6212,0.6212
10.8100,3.7300,0.6151,0.6151
10.8000,3.7300,0.6132,0.6132
10.7900,3.7300,0.6112,0.6112
10.7800,3.7300,0.6072,0.6072
10.7700,3.7200,0.6132,0.6132
10.7600,3.7200,0.6112,0.6112
10.7500,3.7200,0.6092,0.6092
10.7400,3.7200,0.6072,0.6072
10.7300,3.7200,0.6032,0.6032
10.7200,3.7200,0.6012,0.6012
10.7100,3.7200,0.5992,0.5992
10.7000,3.7100,0.6073,0.6073
10.6900,3.7100,0.6053,0.6053
10.6800,3.7100,0.6033,0.6033
10.6700,3.7100,0.6013,0.6013
10.6600,3.7100,0.5994,0.5994
10.6500,3.7100,0.5974,0.5974
10.6400,3.7100,0.5954,0.5954
10.6300,3.7000,0.6035,0.6035
10.6200,3.7000,0.6015,0.6015
10.6100,3.7000,0.5995,0.5995
10.6000,3.7000,0.5976,0.5976
10.5900,3.7000,0.5956,0.5956
10.5800,3.7000,0.5936,0.5936
10.5700,3.7000,0.5917,0.5917
10.5600,3.6900,0.5997,0.5997
10.5500,3.6900,0.5977,0.5977
10.5400,3.6900,0.5958,0.5958
10.5300,3.6900,0.5938,0.5938
10.5200,3.6900,0.5918,0.5918
10.5100,3.6900,0.5898,0.5898
10.5000,3.6900,0.5879,0.5879
10.4900,3.6900,0.5859,0.5859
10.4800,3.6900,0.5839,0.5839
10.4700,3.6800,0.5920,0.5920
10.4600,3.6800,0.5900,0.5900
10.4500,3.6800,0.5900,0.5900
10.4400,3.6800,0.5900,0.5900
10.4300,3.6800,0.5900,0.5900
10.4200,3.6800,0.5900,0.5900
10.4100,3.6800,0.5900,0.5900
10.4000,3.6800,0.5900,0.5900
10.3900,3.6700,0.6000,0.6000
10.3800,3.6700,0.6000,0.6000
10.3700,3.6700,0.6000,0.6000
10.3600,3.6700,0.6000,0.6000
10.3500,3.6700,0.6000,0.6000
10.3400,3.6700,0.6000,0.6000
10.3300,3.6700,0.6000,0.6000
10.3200,3.6600,0.6100,0.6100
10.3100,3.6600,0.6100,0.6100
10.3000,3.6600,0.6100,0.6100
10.2900,3.6600,0.6098,0.6098
10.2800,3.6600,0.6079,0.6079
10.2700,3.6600,0.6059,0.6059
10.2600,3.6600,0.6039,0.6039
10.2500,3.6500,0.6120,0.6120
10.2400,3.6500,0.6100,0.6100
10.2300,3.6500,0.6120,0.6120
10.2200,3.6500,0.6139,0.6139
10.2100,3.6500,0.6159,0.6159
10.2000,3.6500,0.6179,0.6179
10.1900,3.6500,0.6198,0.6198
10.1800,3.6500,0.6200,0.6200
10.1700,3.6500,0.6200,0.6200
10.1600,3.6500,0.6220,0.6220
10.1500,3.6500,0.6239,0.6239
10.1400,3.6500,0.6259,0.6259
10.1300,3.6500,0.6279,0.6279
10.1200,3.6500,0.6298,0.6298
10.1100,3.6500,0.6318,0.6318
10.1000,3.6500,0.6338,0.6338
10.0900,3.6500,0.6358,0.6358
10.0800,3.6500,0.6377,0.6377
10.0700,3.6500,0.6397,0.6397
10.0600,3.6500,0.6417,0.6417
10.0500,3.6500,0.6436,0.6436
10.0400,3.6500,0.6456,0.6456
10.0300,3.6500,0.6476,0.6476
10.0200,3.6500,0.6495,0.6495
10.0100,3.6500,0.6515,0.6515
10.0000,3.6400,0.6635,0.6635
9.9900,3.6400,0.6654,0.6654
9.9800,3.6400,0.6674,0.6674
9.9700,3.6400,0.6694,0.6694
9.9600,3.6400,0.6713,0.6713
9.9500,3.6400,0.6733,0.6733
9.9400,3.6400,0.6753,0.6753
9.9300,3.6300,0.6873,0.6873
9.9200,3.6300,0.6892,0.6892
9.9100,3.6300,0.6912,0.6912
9.9000,3.6300,0.6932,0.6932
9.8900,3.6400,0.6851,0.6851
9.8800,3.6400,0.6871,0.6871
9.8700,3.6400,0.6891,0.6891
9.8600,3.6400,0.6900,0.6900
9.8500,3.6400,0.6900,0.6900
9.8400,3.6400,0.6900,0.6900
9.8300,3.6500,0.6800,0.6800
9.8200,3.6500,0.6800,0.6800
9.8100,3.6500,0.6800,0.6800
9.8000,3.6500,0.6800,0.6800
9.7900,3.6500,0.6800,0.6800
9.7800,3.6600,0.6700,0.6700
9.7700,3.6600,0.6700,0.6700
9.7600,3.6600,0.6700,0.6700
9.7500,3.6600,0.6700,0.6700
9.7400,3.6600,0.6700,0.6700
9.7300,3.6600,0.6700,0.6700
9.7200,3.6700,0.6600,0.6600
9.7100,3.6700,0.6600,0.6600
9.7000,3.6700,0.6600,0.6600
9.6900,3.6700,0.6620,0.6620
9.6800,3.6700,0.6639,0.6639
9.6700,3.6800,0.6559,0.6559
9.6600,3.6800,0.6579,0.6579
9.6500,3.6800,0.6598,0.6598
9.6400,3.6800,0.6618,0.6618
9.6300,3.6800,0.6638,0.6638
9.6200,3.6800,0.6658,0.6658
9.6100,3.6900,0.6577,0.6577
9.6000,3.6900,0.6597,0.6597
9.5900,3.6900,0.6617,0.6617
9.5800,3.7000,0.6536,0.6536
9.5700,3.7000,0.6556,0.6556
9.5600,3.7000,0.6576,0.6576
9.5500,3.7100,0.6495,0.6495
9.5400,3.7100,0.6515,0.6515
9.5300,3.7200,0.6435,0.6435
9.5200,3.7200,0.6454,0.6454
9.5100,3.7300,0.6374,0.6374
9.5000,3.7300,0.6394,0.6394
9.4900,3.7400,0.6313,0.6313
9.4800,3.7400,0.6333,0.6333
9.4700,3.7400,0.6353,0.6353
