# x_m,y_m,w_tr_right_m,w_tr_left_m
5.7300,6.3000,0.6518,0.6518
5.7200,6.2900,0.6498,0.6498
5.7100,6.2900,0.6558,0.6558
5.7000,6.2800,0.6539,0.6539
5.6900,6.2800,0.6591,0.6591
5.6800,6.2800,0.6533,0.6533
5.6700,6.2700,0.6552,0.6552
5.6600,6.2600,0.6571,0.6571
5.6500,6.2500,0.6591,0.6591
5.6400,6.2400,0.6651,0.6651
5.6400,6.2300,0.6619,0.6619
5.6300,6.2200,0.6638,0.6638
5.6200,6.2100,0.6658,0.6658
5.6100,6.2000,0.6677,0.6677
5.6000,6.1900,0.6696,0.6696
5.5900,6.1800,0.6716,0.6716
5.5800,6.1700,0.6720,0.6720
5.5700,6.1600,0.6720,0.6720
5.5600,6.1500,0.6720,0.6720
5.5600,6.1400,0.6698,0.6698
5.5500,6.1300,0.6718,0.6718
5.5400,6.1200,0.6737,0.6737
5.5300,6.1100,0.6739,0.6739
5.5300,6.1000,0.6696,0.6696
5.5200,6.0900,0.6716,0.6716
5.5100,6.0800,0.6735,0.6735
5.5100,6.0700,0.6675,0.6675
5.5000,6.0600,0.6694,0.6694
5.4900,6.0500,0.6713,0.6713
5.4800,6.0400,0.6733,0.6733
